ANZ_X,ANZ_Y
2019-04-01,26.2
2019-04-02,26.56
2019-04-03,26.66
2019-04-04,26.36
2019-04-05,26.05
2019-04-08,26.04
2019-04-09,25.7
2019-04-10,25.59
2019-04-11,25.47
2019-04-12,25.7
2019-04-15,26.11
2019-04-16,26.18
2019-04-17,26.41
2019-04-18,26.96
2019-04-23,26.89
2019-04-24,27.3
2019-04-26,27.3
2019-04-29,27.34
2019-04-30,27.38
2019-05-01,27.45
2019-05-02,27.46
2019-05-03,27.35
2019-05-06,27.27
2019-05-07,27.62
2019-05-08,27.38
2019-05-09,27.56
2019-05-10,27.57
2019-05-13,26.58
2019-05-14,26.23
2019-05-15,26.2
2019-05-16,26.5
2019-05-17,26.84
2019-05-20,27.1
2019-05-21,29.25
2019-05-22,28.42
2019-05-23,28.18
2019-05-24,27.75
2019-05-27,27.87
2019-05-28,27.8
2019-05-29,27.74
2019-05-30,27.89
2019-05-31,27.7
2019-06-03,27.65
2019-06-04,27.55
2019-06-05,28
2019-06-06,28.07
2019-06-07,28.12
2019-06-11,28.5
2019-06-12,28.7
2019-06-13,28.39
2019-06-14,28.35
2019-06-17,28.2
2019-06-18,28.11
2019-06-19,28.45
2019-06-20,28.87
2019-06-21,28.8
2019-06-24,28.52
2019-06-25,28.54
2019-06-26,28.38
2019-06-27,28.16
2019-06-28,28.32
2019-07-01,28.5
2019-07-02,28.36
2019-07-03,27.7
2019-07-04,27.96
2019-07-05,28.25
2019-07-08,28.15
2019-07-09,27.69
2019-07-10,27.75
2019-07-11,27.45
2019-07-12,27.31
2019-07-15,27.17
2019-07-16,27
2019-07-17,26.88
2019-07-18,27.18
2019-07-19,27.21
2019-07-22,27.37
2019-07-23,27.4
2019-07-24,27.55
2019-07-25,27.81
2019-07-26,27.92
2019-07-29,27.89
2019-07-30,27.97
2019-07-31,27.99
2019-08-01,27.7
2019-08-02,27.78
2019-08-05,27.77
2019-08-06,26.66
2019-08-07,26.6
2019-08-08,26.65
2019-08-09,26.93
2019-08-12,26.97
2019-08-13,27.1
2019-08-14,27.1
2019-08-15,26.5
2019-08-16,26.18
2019-08-19,26.51
2019-08-20,26.7
2019-08-21,26.49
2019-08-22,26.55
2019-08-23,26.5
2019-08-26,26
2019-08-27,26.29
2019-08-28,26.16
2019-08-29,26.26
2019-08-30,26.57
2019-09-02,26.65
2019-09-03,26.66
2019-09-04,26.38
2019-09-05,26.6
2019-09-06,26.9
2019-09-09,27.06
2019-09-10,27.35
2019-09-11,27.39
2019-09-12,27.67
2019-09-13,27.75
2019-09-16,27.72
2019-09-17,27.51
2019-09-18,27.8
2019-09-19,27.85
2019-09-20,27.96
2019-09-23,27.99
2019-09-24,27.99
2019-09-25,28.11
2019-09-26,28.41
2019-09-27,28.48
2019-09-30,28.65
2019-10-01,28.45
2019-10-02,28.36
2019-10-03,27.55
2019-10-04,27.33
2019-10-07,27.45
2019-10-08,27.49
2019-10-09,27.16
2019-10-10,27.1
2019-10-11,27.37
2019-10-14,27.66
2019-10-15,27.73
2019-10-16,27.96
2019-10-17,28.15
2019-10-18,27.85
2019-10-21,27.65
2019-10-22,27.86
2019-10-23,27.9
2019-10-24,27.99
2019-10-25,27.93
2019-10-28,28.04
2019-10-29,28.06
2019-10-30,27.86
2019-10-31,27.01
2019-11-01,26.48
2019-11-04,26.2
2019-11-05,26.02
2019-11-06,26.04
2019-11-07,26.01
2019-11-08,26.25
2019-11-11,25.46
2019-11-12,25.61
2019-11-13,25.4
2019-11-14,25.19
2019-11-15,25.39
2019-11-18,25.5
2019-11-19,25.3
2019-11-20,25.25
2019-11-21,24.79
2019-11-22,24.75
2019-11-25,24.92
2019-11-26,24.99
2019-11-27,25
2019-11-28,25.18
2019-11-29,25
2019-12-02,25
2019-12-03,24.81
2019-12-04,24.25
2019-12-05,24.68
2019-12-06,24.7
2019-12-09,24.61
2019-12-10,24.6
2019-12-11,24.42
2019-12-12,24.33
2019-12-13,24.37
2019-12-16,24.78
2019-12-17,25
2019-12-18,24.88
2019-12-19,25.2
2019-12-20,24.91
2019-12-23,24.68
2019-12-24,24.73
2019-12-27,24.71
2019-12-30,24.78
2019-12-31,24.67
2020-01-02,24.44
2020-01-03,24.71
2020-01-06,24.6
2020-01-07,24.8
2020-01-08,24.95
2020-01-09,25
2020-01-10,25.09
2020-01-13,25.04
2020-01-14,25.12
2020-01-15,25.21
2020-01-16,25.4
2020-01-17,25.59
2020-01-20,25.45
2020-01-21,25.5
2020-01-22,25.5
2020-01-23,25.74
2020-01-24,25.85
2020-01-28,25.6
2020-01-29,25.77
2020-01-30,25.82
2020-01-31,25.94
2020-02-03,25.25
2020-02-04,25.45
2020-02-05,25.88
2020-02-06,25.94
2020-02-07,26.15
2020-02-10,26.08
2020-02-11,26.07
2020-02-12,26.25
2020-02-13,26.5
2020-02-14,26.41
2020-02-17,26.63
2020-02-18,26.65
2020-02-19,26.75
2020-02-20,26.9
2020-02-21,27.03
2020-02-24,26.94
2020-02-25,26.33
2020-02-26,26.02
2020-02-27,25.9
2020-02-28,25.1
2020-03-02,24.41
2020-03-03,24.66
2020-03-04,23.63
2020-03-05,23.7
2020-03-06,22.81
2020-03-09,20.75
2020-03-10,19.5
2020-03-11,21.1
2020-03-12,19.6
2020-03-13,16.8
2020-03-16,17.46
2020-03-17,16.07
2020-03-18,18.08
2020-03-19,17.14
2020-03-20,15.9
2020-03-23,14.95
2020-03-24,14.5
2020-03-25,16
2020-03-26,16.96
2020-03-27,17.2
2020-03-30,15.47
