CBA_X,CBA_Y
2019-04-01,71
2019-04-02,71.9
2019-04-03,71.51
2019-04-04,71.52
2019-04-05,71.06
2019-04-08,71.01
2019-04-09,70.56
2019-04-10,70.14
2019-04-11,70.27
2019-04-12,70.94
2019-04-15,71.94
2019-04-16,72.09
2019-04-17,72.8
2019-04-18,73.65
2019-04-23,73.58
2019-04-24,74.5
2019-04-26,75.09
2019-04-29,75.4
2019-04-30,74.91
2019-05-01,74.81
2019-05-02,75
2019-05-03,74.92
2019-05-06,74.47
2019-05-07,75.07
2019-05-08,74.21
2019-05-09,74.42
2019-05-10,75.18
2019-05-13,73.9
2019-05-14,72.76
2019-05-15,72.69
2019-05-16,72.93
2019-05-17,73.9
2019-05-20,76.96
2019-05-21,79.6
2019-05-22,78.7
2019-05-23,78.93
2019-05-24,77.75
2019-05-27,77.51
2019-05-28,77.84
2019-05-29,77.53
2019-05-30,77.38
2019-05-31,77.95
2019-06-03,78.06
2019-06-04,77.92
2019-06-05,79
2019-06-06,79.47
2019-06-07,79.99
2019-06-11,80.1
2019-06-12,81
2019-06-13,80.15
2019-06-14,79.81
2019-06-17,79.8
2019-06-18,80.7
2019-06-19,81.7
2019-06-20,82.78
2019-06-21,82.89
2019-06-24,82
2019-06-25,82.66
2019-06-26,82.29
2019-06-27,81.98
2019-06-28,83.2
2019-07-01,83.5
2019-07-02,82.22
2019-07-03,80.54
2019-07-04,81.44
2019-07-05,82.02
2019-07-08,82
2019-07-09,80.69
2019-07-10,81.5
2019-07-11,80.88
2019-07-12,81.24
2019-07-15,80.91
2019-07-16,80.95
2019-07-17,80.77
2019-07-18,81.15
2019-07-19,81.5
2019-07-22,82.15
2019-07-23,81.9
2019-07-24,82
2019-07-25,82.73
2019-07-26,82.99
2019-07-29,82.8
2019-07-30,83.49
2019-07-31,83.09
2019-08-01,81.5
2019-08-02,81.75
2019-08-05,82
2019-08-06,79.84
2019-08-07,77.81
2019-08-08,77.6
2019-08-09,79.61
2019-08-12,79.46
2019-08-13,79.56
2019-08-14,77.4
2019-08-15,75.1
2019-08-16,74.45
2019-08-19,75.94
2019-08-20,76.7
2019-08-21,76.87
2019-08-22,77.48
2019-08-23,77.02
2019-08-26,76.31
2019-08-27,76.8
2019-08-28,76.61
2019-08-29,77
2019-08-30,77.77
2019-09-02,78.9
2019-09-03,78.97
2019-09-04,77.89
2019-09-05,79
2019-09-06,79.51
2019-09-09,79.4
2019-09-10,79.99
2019-09-11,80.15
2019-09-12,81.29
2019-09-13,81.75
2019-09-16,81.61
2019-09-17,81.4
2019-09-18,82.1
2019-09-19,82.34
2019-09-20,82.15
2019-09-23,82.39
2019-09-24,82.23
2019-09-25,81.71
2019-09-26,81.6
2019-09-27,81.38
2019-09-30,81.51
2019-10-01,80.96
2019-10-02,80
2019-10-03,78
2019-10-04,77.51
2019-10-07,78.28
2019-10-08,78.39
2019-10-09,77.8
2019-10-10,78
2019-10-11,78.84
2019-10-14,79.2
2019-10-15,78.96
2019-10-16,79.8
2019-10-17,80.68
2019-10-18,79.65
2019-10-21,79.2
2019-10-22,79.69
2019-10-23,79.73
2019-10-24,80.12
2019-10-25,80.45
2019-10-28,80.77
2019-10-29,80.15
2019-10-30,80.06
2019-10-31,79.5
2019-11-01,78.1
2019-11-04,77.65
2019-11-05,77.65
2019-11-06,78.1
2019-11-07,78.51
2019-11-08,79.06
2019-11-11,79.59
2019-11-12,80.46
2019-11-13,80.83
2019-11-14,79.55
2019-11-15,80.19
2019-11-18,80.3
2019-11-19,80.1
2019-11-20,80.1
2019-11-21,78.76
2019-11-22,79.33
2019-11-25,80
2019-11-26,80
2019-11-27,80.83
2019-11-28,81.85
2019-11-29,81.8
2019-12-02,81.35
2019-12-03,80.24
2019-12-04,78.5
2019-12-05,78.74
2019-12-06,79.06
2019-12-09,79.42
2019-12-10,79.35
2019-12-11,79.83
2019-12-12,79.81
2019-12-13,80.2
2019-12-16,80.5
2019-12-17,81.5
2019-12-18,81.73
2019-12-19,82.35
2019-12-20,81.86
2019-12-23,81.19
2019-12-24,80.72
2019-12-27,80.99
2019-12-30,81.25
2019-12-31,80.53
2020-01-02,79.79
2020-01-03,80.97
2020-01-06,79.73
2020-01-07,80.82
2020-01-08,81.22
2020-01-09,81.5
2020-01-10,81.63
2020-01-13,82.1
2020-01-14,82.96
2020-01-15,83.1
2020-01-16,84
2020-01-17,84.74
2020-01-20,84
2020-01-21,83.88
2020-01-22,83.5
2020-01-23,84.44
2020-01-24,84.9
2020-01-28,83.7
2020-01-29,84.44
2020-01-30,84.84
2020-01-31,85.57
2020-02-03,84.15
2020-02-04,84.4
2020-02-05,85
2020-02-06,83.93
2020-02-07,84.62
2020-02-10,84.74
2020-02-11,84.8
2020-02-12,86.2
2020-02-13,88.49
2020-02-14,89.4
2020-02-17,90.79
2020-02-18,89.81
2020-02-19,88.01
2020-02-20,87.83
2020-02-21,87.85
2020-02-24,87.61
2020-02-25,86.3
2020-02-26,85.33
2020-02-27,85.12
2020-02-28,82.25
2020-03-02,80.05
2020-03-03,81.5
2020-03-04,78.17
2020-03-05,78.15
2020-03-06,75.33
2020-03-09,71
2020-03-10,67.53
2020-03-11,73.07
2020-03-12,67.9
2020-03-13,60.47
2020-03-16,61.44
2020-03-17,59.72
2020-03-18,65.96
2020-03-19,66.19
2020-03-20,64.41
2020-03-23,57.71
2020-03-24,56.01
2020-03-25,62
2020-03-26,62.9
2020-03-27,63.28
2020-03-30,57.85
